TEAM,GAMES,POINTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FTP,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,PLUS_MINUS,YEAR
AZS AGH Kraków,34.0,76.8,17.7,35.0,50.6,9.2,29.9,30.7,26.9,64.9,41.4,13.8,20.7,66.6,11.62,24.44,36.06,18.5,22.21,21.0,13.4,7.85,2.65,2.47,83.6,-15.4,2022/2023
BS Polonia Bytom,34.0,79.9,20.9,42.2,49.7,8.2,24.6,33.5,29.2,66.7,43.7,13.4,20.9,64.0,11.15,26.53,37.68,15.3,19.62,19.97,13.4,7.0,2.15,2.65,83.7,-31.6,2022/2023
Decka Pelplin,37.0,78.8,21.4,41.8,51.2,7.2,23.0,31.4,28.6,64.8,44.2,14.4,21.5,66.9,11.46,28.7,40.16,17.4,23.16,20.54,14.1,7.54,3.32,2.92,89.9,9.2,2022/2023
Dziki Warszawa,44.0,78.6,20.3,38.6,52.6,7.6,23.7,32.1,27.9,62.3,44.8,15.1,23.6,63.9,11.61,26.98,38.59,20.0,19.95,22.45,13.8,9.48,2.73,2.91,92.6,39.2,2022/2023
Enea Basket Poznań,34.0,80.4,20.9,38.7,53.9,7.9,26.1,30.4,28.8,64.7,44.4,15.0,21.8,68.8,11.53,26.0,37.53,17.9,22.06,21.24,14.6,8.88,1.68,2.62,89.1,11.8,2022/2023
GKS Tychy,38.0,79.7,19.8,39.6,49.9,7.4,22.7,32.6,27.2,62.3,43.6,18.0,24.2,74.5,11.53,27.89,39.42,17.5,22.37,22.58,14.9,7.53,1.79,2.29,89.7,20.4,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,43.0,82.1,22.2,40.8,54.4,8.0,25.4,31.3,30.1,66.2,45.5,13.9,21.5,64.9,12.56,28.65,41.21,21.5,20.47,19.63,12.9,8.91,3.74,1.7,100.9,43.1,2022/2023
HydroTruck Radom,44.0,84.5,19.5,35.7,54.7,10.4,29.8,34.8,29.9,65.4,45.7,14.3,19.4,74.0,10.55,29.05,39.59,20.2,20.3,19.02,13.3,8.09,2.09,2.61,100.5,32.6,2022/2023
KKS Polonia Warszawa,37.0,78.2,19.4,36.8,52.8,8.7,26.5,32.7,28.1,63.2,44.4,13.5,19.7,68.6,10.62,28.05,38.68,18.6,21.41,19.41,15.2,7.38,3.7,2.43,90.1,4.7,2022/2023
Miasto Szkła Krosno,34.0,78.1,20.3,36.9,54.9,8.2,25.5,32.2,28.5,62.4,45.6,12.9,19.5,66.5,11.59,26.71,38.29,18.7,21.24,19.15,15.3,7.56,2.06,2.65,89.0,6.2,2022/2023
MKKS Żak Koszalin,34.0,86.2,20.3,39.1,52.0,9.2,26.5,34.7,29.5,65.6,45.0,17.9,24.0,74.4,11.5,25.74,37.24,18.7,22.32,21.68,14.9,9.12,2.65,2.38,96.8,11.9,2022/2023
PGE Turów Zgorzelec,34.0,78.4,20.7,40.3,51.3,7.9,23.1,34.3,28.6,63.3,45.1,13.3,19.9,67.1,9.06,23.47,32.53,18.2,20.68,19.53,14.0,8.29,2.0,2.12,84.1,-33.2,2022/2023
Sensation Kotwica Kołobrzeg,38.0,79.1,16.8,31.9,52.8,11.7,33.2,35.1,28.5,65.1,43.8,10.5,15.3,68.6,8.79,29.05,37.84,18.6,19.97,16.55,12.7,8.29,2.92,2.45,92.7,22.5,2022/2023
SKS Starogard Gdański,43.0,82.7,18.6,35.2,52.7,8.7,25.4,34.1,27.2,60.6,44.9,19.6,26.3,74.5,8.93,30.74,39.67,18.0,19.84,23.02,14.0,5.3,2.74,3.19,94.3,12.8,2022/2023
Start II Lublin,34.0,68.7,19.1,40.3,47.4,6.2,22.6,27.6,25.4,62.9,40.3,11.7,17.8,66.1,10.32,23.15,33.47,13.3,15.65,17.62,22.2,6.79,2.41,3.56,58.9,-182.4,2022/2023
Weegree AZS Politechnika Opolska,34.0,81.3,19.2,35.1,54.5,9.3,28.9,32.1,28.4,64.0,44.4,15.1,19.9,76.0,10.91,26.47,37.38,20.4,23.03,20.35,15.7,8.09,2.41,2.0,93.5,3.1,2022/2023
WKK Wrocław,34.0,78.7,17.9,35.9,49.8,8.4,25.7,32.7,26.3,61.6,42.6,17.8,24.9,71.6,8.94,28.53,37.47,20.2,19.03,22.56,14.2,7.18,2.0,2.56,88.9,5.2,2022/2023
WKS Śląsk II Wrocław,34.0,73.3,19.8,39.9,49.6,6.4,22.4,28.7,26.3,62.4,42.1,14.3,21.6,66.3,12.35,27.79,40.15,15.7,20.76,20.15,15.3,7.0,3.21,3.12,80.7,-2.2,2022/2023
 AZS UMCS Start II Lublin,32.0,80.1,20.3,41.4,49.2,7.8,23.5,32.9,28.1,64.9,43.3,16.1,22.1,73.1,9.91,27.91,37.81,17.5,19.13,20.56,12.7,7.66,2.09,2.53,89.7,-13.3,2021/2022
AZS AGH Kraków,36.0,79.4,20.1,38.0,53.0,8.5,30.5,27.8,28.6,68.6,41.7,13.7,20.4,67.1,12.64,24.47,37.11,18.5,24.31,20.44,13.6,8.81,1.47,2.42,85.0,-2.4,2021/2022
Decka Pelplin,32.0,72.4,17.8,36.9,48.1,8.7,27.8,31.3,26.5,64.7,40.9,10.8,15.4,70.0,13.56,27.41,40.97,17.3,21.28,17.28,16.8,6.75,2.97,2.22,80.7,-25.5,2021/2022
Dziki Warszawa,37.0,73.6,18.0,36.3,49.6,8.7,27.5,31.8,26.7,63.8,41.9,11.4,18.5,61.8,11.27,27.51,38.78,16.9,20.43,18.16,13.6,8.89,2.32,2.81,82.5,14.6,2021/2022
GKS Tychy,37.0,83.2,20.0,40.2,49.9,9.1,26.7,34.1,29.1,66.8,43.6,16.0,21.4,74.7,12.08,26.19,38.27,17.4,23.7,20.97,13.7,8.41,1.32,2.57,91.8,9.4,2021/2022
Górnik Trans.eu Wałbrzych,45.0,83.7,22.1,44.6,49.6,8.1,24.4,33.1,30.2,69.0,43.7,15.3,22.9,66.7,12.62,31.4,44.02,18.1,21.44,21.02,14.1,8.0,3.11,2.2,96.3,25.0,2021/2022
KS Księżak Łowicz,32.0,82.7,20.7,36.5,56.6,8.3,24.9,33.1,28.9,61.5,47.1,16.6,22.0,75.4,8.06,26.59,34.66,17.1,21.19,21.59,16.3,6.0,1.19,1.97,87.4,-33.3,2021/2022
Miasto Szkła Krosno,32.0,78.7,20.6,39.1,52.6,8.0,23.2,34.6,28.6,62.3,45.9,13.5,20.6,65.3,10.88,27.28,38.16,17.3,21.66,20.19,15.6,6.97,3.06,2.25,87.8,-1.1,2021/2022
MKKS Żak Koszalin,32.0,75.9,21.8,43.2,50.6,6.4,21.3,30.1,28.3,64.5,43.8,13.0,19.5,66.6,12.56,27.41,39.97,16.8,19.06,19.03,15.3,7.84,2.91,1.88,85.3,-12.3,2021/2022
PGE Turów Zgorzelec,32.0,75.7,18.4,38.2,48.2,8.5,25.4,33.4,26.9,63.6,42.3,13.4,21.3,63.2,10.25,26.78,37.03,17.2,18.97,21.5,16.8,6.84,1.34,2.66,76.7,-68.6,2021/2022
Rawlplug Sokół Łańcut,44.0,85.9,19.4,34.3,56.7,11.1,29.5,37.5,30.5,63.7,47.8,13.9,18.6,74.7,9.32,28.8,38.11,21.3,19.07,19.77,14.9,8.09,3.27,1.61,103.8,35.9,2021/2022
Sensation Kotwica Kołobrzeg,44.0,82.8,18.5,35.7,51.8,11.1,31.6,35.3,29.7,67.3,44.1,12.4,17.5,70.6,10.59,31.52,42.11,18.1,20.7,18.16,12.6,7.07,2.59,2.27,97.3,43.5,2021/2022
SKS Starogard Gdański,32.0,79.9,18.8,36.8,51.2,9.3,29.1,31.8,28.1,65.9,42.6,14.5,22.7,63.7,12.0,28.81,40.81,17.6,18.72,20.81,15.6,7.69,3.94,2.75,88.3,-0.6,2021/2022
TBS Śląsk II Wrocław,32.0,83.9,22.1,43.7,50.6,8.5,25.7,33.2,30.6,69.4,44.1,14.2,21.1,67.1,12.22,29.63,41.84,17.3,22.16,20.69,14.3,7.06,2.22,2.56,92.3,10.8,2021/2022
Weegree AZS Politechnika Opolska,42.0,80.4,18.7,35.3,53.1,8.7,26.6,32.7,27.4,61.9,44.3,16.9,23.6,71.5,9.19,28.45,37.64,20.5,19.57,22.79,13.2,7.17,2.24,2.62,93.5,17.9,2021/2022
WKK Wrocław,37.0,79.0,19.7,40.6,48.5,7.7,23.0,33.6,27.4,63.5,43.1,16.5,22.9,71.9,10.11,28.78,38.89,16.5,18.78,20.62,13.5,7.11,2.43,2.86,87.9,-4.0,2021/2022
Znicz Basket Pruszków,32.0,74.5,18.4,37.9,48.6,7.8,26.8,29.2,26.3,64.8,40.5,14.1,20.2,70.1,10.97,26.5,37.47,15.0,20.44,21.56,15.1,7.19,1.69,2.53,76.2,-44.4,2021/2022
Decka Pelplin,30.0,82.8,20.0,38.0,52.7,8.4,24.3,34.5,28.4,62.3,45.6,17.5,22.7,77.0,8.37,26.1,34.47,18.0,19.53,20.47,15.5,7.37,2.87,2.6,90.9,-20.9,2020/2021
Dziki Warszawa,30.0,79.6,19.9,38.7,51.4,8.7,26.6,32.8,28.6,65.3,43.8,13.6,19.7,69.1,11.1,26.53,37.63,17.9,21.97,20.07,15.2,8.4,2.97,1.87,88.5,-4.8,2020/2021
Elektrobud-Investment ZB Pruszków,33.0,72.9,17.8,35.7,49.8,8.3,25.6,32.4,26.1,61.4,42.5,12.4,18.6,66.7,10.33,25.58,35.91,16.9,20.82,19.27,15.8,9.06,1.88,2.76,79.3,-6.3,2020/2021
Energa Kotwica Kołobrzeg,30.0,78.7,19.6,39.7,49.3,8.7,26.2,33.2,28.3,65.9,42.9,13.4,19.0,70.2,11.2,29.1,40.3,15.5,21.67,19.83,15.1,6.8,2.5,2.33,85.4,-9.3,2020/2021
GKS Tychy,34.0,82.6,22.2,41.0,54.2,7.9,24.0,33.0,30.1,65.0,46.3,14.4,19.5,73.9,12.09,26.18,38.26,17.4,21.18,19.56,16.1,6.82,2.91,2.85,92.0,-15.2,2020/2021
Górnik Trans.eu Wałbrzych,44.0,82.8,22.7,45.2,50.2,7.1,22.4,31.6,29.8,67.6,44.1,16.1,23.8,67.8,13.23,28.86,42.09,17.0,22.52,21.95,12.3,7.77,2.89,3.05,94.7,35.0,2020/2021
Grupa Sierleccy-Czarni Słupsk,42.0,85.2,22.1,41.2,53.6,9.5,24.3,38.8,31.5,65.6,48.1,12.7,17.4,73.0,11.0,28.52,39.52,18.8,19.9,18.57,11.9,8.1,2.57,2.26,103.6,70.4,2020/2021
KS Księżak Łowicz,30.0,85.1,23.0,41.1,56.0,7.6,22.8,33.3,30.6,63.9,47.9,16.3,22.4,72.9,9.53,27.0,36.53,19.4,20.37,21.63,15.9,8.07,1.83,2.8,95.6,-5.6,2020/2021
Miasto Szkła Krosno,33.0,80.5,20.9,39.6,52.9,8.1,23.9,33.9,29.0,63.5,45.7,14.4,20.2,71.0,10.61,25.85,36.45,18.6,23.33,19.94,15.1,8.7,2.03,1.82,90.9,-4.1,2020/2021
Pogoń Prudnik,30.0,79.6,18.8,34.8,54.1,9.3,27.0,34.5,28.1,61.8,45.5,14.0,17.7,79.2,9.3,24.57,33.87,18.2,20.2,20.1,14.6,6.3,1.67,2.7,87.7,-31.5,2020/2021
Rawlplug Sokół Łańcut,40.0,89.6,19.6,35.6,55.0,10.9,29.4,37.1,30.5,65.0,46.9,17.7,23.0,77.1,12.33,25.1,37.43,20.6,19.3,21.63,14.4,8.33,2.6,1.93,104.4,41.5,2020/2021
TBS Śląsk II Wrocław,30.0,82.2,22.8,43.2,52.8,8.0,24.3,32.7,30.8,67.5,45.6,12.7,18.6,68.3,12.07,25.97,38.03,17.7,21.6,20.53,15.0,7.6,2.77,2.73,90.6,2.5,2020/2021
TS Wisła Chemart Kraków,30.0,76.1,17.9,36.4,49.3,9.1,27.0,33.6,27.0,63.4,42.6,13.0,19.6,66.4,10.67,25.5,36.17,17.0,19.77,19.63,15.6,6.37,2.4,2.93,79.4,-45.3,2020/2021
Weegree AZS Politechnika Opolska,34.0,83.4,22.9,41.9,54.5,6.5,21.8,29.9,29.4,63.7,46.1,18.2,24.5,74.3,9.88,26.24,36.12,19.5,22.09,22.62,16.2,7.65,3.68,2.47,93.6,-8.8,2020/2021
WKK Wrocław,40.0,86.4,22.7,43.6,52.1,7.9,23.1,34.3,30.6,66.6,45.9,17.3,24.1,71.7,11.25,29.65,40.9,21.0,19.73,21.83,14.2,7.3,3.65,2.88,102.2,33.0,2020/2021
Zetkama Doral Nysa Kłodzko,30.0,74.3,18.5,38.7,47.7,7.2,22.7,31.6,25.6,61.4,41.7,15.9,22.4,70.7,10.0,23.2,33.2,16.0,20.27,20.83,17.1,7.1,1.13,3.0,72.3,-95.3,2020/2021
Biofarm Basket Poznań,23.0,79.0,20.8,39.3,53.0,7.2,26.4,27.3,28.0,65.7,42.7,15.7,23.0,68.2,12.78,26.65,39.43,17.2,22.22,22.09,13.7,7.35,2.78,1.74,87.2,-7.4,2019/2020
Elektrobud-Investment ZB Pruszków,24.0,77.6,18.1,36.3,49.9,9.0,25.7,34.8,27.1,62.0,43.7,14.5,21.0,68.8,8.58,23.71,32.29,14.9,21.92,20.13,13.6,8.92,2.13,2.08,80.7,-17.3,2019/2020
Energa Kotwica Kołobrzeg,23.0,81.4,21.6,42.4,51.0,7.7,23.0,33.5,29.3,65.4,44.8,15.0,20.8,72.4,12.7,26.61,39.3,14.7,19.26,19.22,14.7,7.61,1.74,3.13,88.1,-23.0,2019/2020
GKS Tychy,24.0,82.6,21.5,38.8,55.3,7.8,23.8,32.9,29.3,62.6,46.8,16.2,21.3,76.1,9.96,25.17,35.13,17.2,23.54,20.33,13.5,6.79,2.08,2.79,91.9,-4.0,2019/2020
Górnik Trans.eu Wałbrzych,23.0,82.0,20.6,41.2,50.0,8.0,24.0,33.5,28.7,65.2,43.9,16.7,24.3,68.5,12.43,27.3,39.74,17.7,23.87,21.35,13.4,8.91,3.3,1.87,94.0,29.1,2019/2020
KS Księżak Łowicz,23.0,89.3,22.2,40.6,54.8,8.3,24.6,33.6,30.5,65.1,46.8,20.0,25.1,79.8,10.87,25.3,36.17,16.1,21.65,22.74,13.9,7.96,1.57,1.91,97.4,-0.4,2019/2020
Miasto Szkła Krosno,23.0,80.0,20.4,38.2,53.5,8.4,24.4,34.3,28.8,62.6,46.0,14.0,19.5,71.9,11.61,27.83,39.43,17.3,21.87,19.65,14.5,6.87,2.35,1.7,92.3,14.5,2019/2020
Pogoń Prudnik,24.0,83.5,17.9,33.7,53.0,10.3,28.2,36.7,28.2,61.9,45.6,16.7,21.0,79.7,9.29,26.58,35.88,20.1,21.92,21.75,13.0,5.88,1.54,2.25,96.0,-3.1,2019/2020
Rawlplug Sokół Łańcut,24.0,86.5,21.7,39.1,55.5,9.1,26.0,35.0,30.8,65.2,47.3,15.7,20.8,75.2,10.79,25.29,36.08,18.8,21.25,20.92,13.0,9.04,1.83,2.33,99.8,23.5,2019/2020
STK Czarni Słupsk,24.0,83.8,19.8,38.6,51.2,10.0,27.8,36.0,29.8,66.4,44.9,14.3,19.8,72.2,12.75,27.5,40.25,20.0,21.0,18.71,11.7,6.04,2.33,1.79,98.7,27.2,2019/2020
Timeout Polonia 1912 Leszno,24.0,82.3,19.1,38.2,50.1,9.8,26.1,37.4,28.9,64.3,44.9,14.8,22.9,64.7,10.21,28.5,38.71,17.0,19.96,22.21,12.6,5.92,1.63,2.0,89.5,-8.1,2019/2020
Weegree AZS Politechnika Opolska,23.0,85.1,20.8,40.4,51.5,7.8,23.5,33.3,28.6,63.8,44.8,20.1,25.3,79.4,10.57,25.13,35.7,18.1,21.22,22.65,13.6,6.52,1.91,2.7,93.3,-23.5,2019/2020
WKK Wrocław,23.0,86.2,22.4,40.2,55.6,8.1,23.9,33.8,30.4,64.1,47.5,17.3,23.1,74.8,9.17,27.78,36.96,19.4,18.65,21.35,12.2,6.87,4.17,2.09,101.9,23.0,2019/2020
Zetkama Doral Nysa Kłodzko,23.0,77.7,20.7,42.5,48.7,7.3,21.3,34.4,28.0,63.7,43.9,14.4,21.2,68.2,11.04,26.35,37.39,17.7,21.91,21.87,13.8,6.35,1.96,2.87,84.8,-31.1,2019/2020
AZS AGH Kraków,34.0,76.2,18.5,38.7,47.9,7.9,25.7,30.7,26.4,64.4,41.1,15.4,23.2,66.1,12.21,25.0,37.21,17.7,23.44,22.18,16.0,8.09,2.24,3.29,79.5,-30.7,2018/2019
Biofarm Basket Poznań,33.0,77.5,20.0,40.2,49.7,7.4,25.2,29.3,27.4,65.4,41.8,15.3,21.7,70.7,12.12,28.24,40.36,16.7,19.76,20.33,13.0,7.67,3.55,2.06,88.4,-5.9,2018/2019
Elektrobud-Investment ZB Pruszków,34.0,71.6,16.1,34.2,47.1,9.0,26.9,33.5,25.1,61.1,41.1,12.3,17.4,70.8,10.12,24.71,34.82,15.3,20.03,18.09,14.1,8.53,2.06,2.0,77.1,-8.1,2018/2019
Enea Astoria Bydgoszcz,41.0,86.0,24.6,44.5,55.2,7.7,21.9,35.2,32.3,66.4,48.6,13.7,21.1,65.0,11.98,29.12,41.1,20.1,20.27,21.2,12.7,7.61,2.46,2.02,103.0,37.3,2018/2019
Energa Kotwica Kołobrzeg,34.0,80.9,20.4,38.7,52.8,8.5,24.3,35.1,28.9,63.0,46.0,14.5,19.6,74.1,9.76,26.91,36.68,16.4,22.35,20.26,14.5,7.06,1.82,2.44,89.3,-3.0,2018/2019
FutureNet Śląsk Wrocław,42.0,89.6,18.8,36.5,51.6,11.8,32.8,35.8,30.6,69.3,44.1,16.7,23.2,71.8,13.98,29.93,43.9,18.4,21.67,21.6,12.0,5.86,2.9,2.71,103.4,46.4,2018/2019
GKS Tychy,34.0,85.4,20.4,37.7,54.2,9.8,26.2,37.6,30.2,63.8,47.4,15.2,19.9,76.1,9.29,25.03,34.32,19.0,23.29,20.88,11.4,6.44,1.15,2.35,96.7,10.4,2018/2019
Górnik Trans.eu Wałbrzych,34.0,75.7,20.0,39.9,50.1,6.8,21.3,31.8,26.8,61.2,43.8,15.4,22.6,68.1,12.68,29.44,42.12,17.1,22.53,21.65,15.0,6.06,3.35,1.88,87.7,-3.2,2018/2019
Jamalex Polonia 1912 Leszno,30.0,80.2,19.4,39.9,48.5,8.6,23.4,36.7,28.0,63.4,44.1,15.7,22.2,70.5,11.63,25.0,36.63,14.7,21.53,21.27,12.0,7.43,1.13,2.87,86.2,8.7,2018/2019
KS Księżak Syntex Łowicz,34.0,78.3,19.9,38.2,52.2,8.0,23.6,34.0,27.9,61.8,45.2,14.4,18.9,76.2,10.09,22.62,32.71,16.3,20.85,20.21,13.7,6.24,1.56,2.38,83.0,-38.6,2018/2019
Pogoń Prudnik,30.0,83.7,20.8,37.8,55.1,8.4,25.1,33.6,29.2,62.8,46.5,16.8,21.1,79.9,8.47,27.17,35.63,17.6,21.83,22.07,13.6,7.1,1.7,1.83,94.3,0.5,2018/2019
Polfarmex Kutno,34.0,78.3,19.1,40.1,47.7,8.5,23.7,35.8,27.6,63.8,43.3,14.7,20.6,71.2,10.71,25.29,36.0,18.1,21.21,19.82,13.5,7.85,3.06,2.88,87.7,-9.7,2018/2019
Rawlplug Sokół Łańcut,41.0,84.6,20.4,39.3,52.0,8.2,22.8,35.8,28.6,62.2,46.0,19.2,28.0,68.8,10.85,26.59,37.44,18.7,17.51,23.54,12.2,7.27,2.27,2.0,95.8,14.5,2018/2019
SKK Siedlce,34.0,80.3,18.9,38.0,49.7,10.2,28.2,36.0,29.1,66.2,43.9,12.0,17.4,69.0,10.09,27.35,37.44,17.7,21.09,19.15,14.3,5.68,2.24,2.44,86.4,-45.4,2018/2019
STK Czarni Słupsk,41.0,82.4,20.2,37.8,53.3,9.7,26.8,36.2,29.9,64.6,46.2,13.0,19.6,66.6,11.9,28.56,40.46,20.5,21.49,18.32,14.0,6.49,2.66,2.17,97.4,18.3,2018/2019
WKK Wrocław,34.0,77.7,17.9,35.6,50.4,9.4,28.0,33.4,27.3,63.6,42.9,13.8,18.9,72.8,8.65,27.09,35.74,17.0,16.56,19.24,12.7,7.85,2.76,2.03,86.9,-15.6,2018/2019
Biofarm Basket Poznań,36.0,78.9,20.6,40.6,50.8,7.6,22.3,33.9,28.2,62.9,44.8,15.0,21.0,71.5,11.86,26.53,38.39,15.9,20.25,20.11,14.4,7.33,3.03,2.0,88.5,6.3,2017/2018
Elektrobud-Investment ZB Pruszków,36.0,77.1,20.0,36.9,54.1,7.4,22.0,33.9,27.4,58.9,46.6,14.8,20.7,71.4,10.56,28.17,38.72,15.9,19.56,20.03,17.0,7.19,3.06,2.17,87.6,7.8,2017/2018
Enea Astoria Bydgoszcz,32.0,81.8,24.9,47.5,52.4,5.5,16.7,33.1,30.4,64.3,47.4,15.4,22.2,69.2,12.03,27.59,39.63,17.4,20.25,21.72,15.9,9.06,2.09,3.25,93.4,18.6,2017/2018
Energa Kotwica Kołobrzeg,36.0,75.1,20.5,39.3,52.1,7.5,22.8,33.0,28.0,62.1,45.1,11.6,17.1,68.0,8.83,26.92,35.75,17.7,19.33,18.53,14.5,7.94,1.36,2.42,83.9,-19.7,2017/2018
GKS Tychy,41.0,89.4,21.1,36.7,57.6,9.8,26.0,37.8,30.9,62.6,49.4,17.8,22.4,79.3,10.24,24.24,34.49,17.8,21.54,21.51,14.0,7.66,1.56,2.32,100.5,14.0,2017/2018
Jamalex Polonia 1912 Leszno,42.0,81.6,21.1,40.6,52.1,8.4,23.7,35.3,29.5,64.3,45.9,14.2,21.0,68.0,11.07,25.76,36.83,17.3,22.0,20.93,11.9,8.38,1.67,2.64,92.4,45.7,2017/2018
KK Warszawa,36.0,69.9,17.9,35.7,50.1,7.2,24.3,29.7,25.1,60.0,41.9,12.4,18.4,67.6,8.19,24.69,32.89,12.7,21.53,19.86,16.1,8.06,1.97,2.5,68.6,-54.9,2017/2018
KSK Noteć Inowrocław,32.0,68.4,17.8,36.4,48.8,6.4,23.8,26.9,24.2,60.2,40.1,13.7,20.6,66.3,10.31,23.19,33.5,15.3,20.38,20.09,15.8,7.97,1.78,2.56,68.1,-77.8,2017/2018
Pogoń Prudnik,36.0,74.7,18.7,36.5,51.3,7.6,23.1,33.0,26.3,59.5,44.2,14.4,20.3,71.0,9.11,26.81,35.92,15.9,19.72,21.17,14.7,6.56,2.36,2.39,81.6,-24.9,2017/2018
Polfarmex Kutno,36.0,73.7,20.0,41.7,47.9,7.4,23.8,31.0,27.4,65.6,41.8,11.6,17.8,65.1,14.11,26.0,40.11,17.3,20.61,18.36,13.9,10.28,2.28,2.61,85.4,26.0,2017/2018
R8 Basket AZS Politechnika Kraków,36.0,83.8,17.9,32.9,54.4,11.4,30.8,37.2,29.4,63.7,46.1,13.6,19.1,71.2,11.14,25.83,36.97,19.6,20.0,19.47,12.9,7.78,1.86,1.86,97.2,30.9,2017/2018
