TEAM,GAMES,POINTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FTP,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,PLUS_MINUS,YEAR
Siarka Tarnobrzeg,36.0,75.6,20.4,41.0,49.8,6.9,22.9,30.1,27.3,63.9,42.8,14.1,20.6,68.3,11.69,25.22,36.92,15.6,20.92,20.22,16.1,7.92,2.86,2.44,79.7,-25.9,2017/2018
SKK Siedlce,36.0,76.1,19.1,37.7,50.7,8.4,26.5,31.9,27.6,64.2,42.9,12.5,18.4,68.1,12.72,27.39,40.11,15.4,21.53,18.64,17.3,7.75,2.53,2.36,82.1,-15.6,2017/2018
Sokół Łańcut,43.0,79.6,19.7,38.0,52.0,8.5,25.4,33.3,28.2,63.4,44.5,14.7,22.0,66.7,10.91,25.07,35.98,16.7,16.74,21.37,12.0,9.44,3.07,1.53,90.3,19.8,2017/2018
Spójnia Stargard,42.0,88.3,23.0,40.0,57.4,9.3,24.6,37.8,32.2,64.6,49.9,14.6,19.5,74.6,11.02,28.36,39.38,19.5,19.57,19.6,14.6,7.9,2.36,1.95,105.6,56.0,2017/2018
WKS Śląsk Wrocław,32.0,78.5,19.6,39.6,49.4,9.0,27.6,32.8,28.6,67.2,42.6,12.3,17.0,72.1,12.81,28.94,41.75,15.5,22.0,19.34,14.7,5.5,3.09,2.16,86.3,-1.6,2017/2018
Zetkama Doral Nysa Kłodzko,36.0,70.0,17.3,35.9,48.1,7.3,24.4,29.7,24.5,60.3,40.6,13.8,19.6,70.0,10.64,25.42,36.06,14.4,21.56,21.0,13.4,6.36,2.08,2.03,73.8,-34.8,2017/2018
ACK UTH Rosa Radom,33.0,70.9,17.8,36.4,48.8,7.2,25.0,28.7,24.9,61.4,40.6,13.9,20.2,68.8,11.58,23.91,35.48,15.8,19.61,19.67,15.9,8.7,1.97,1.76,74.2,-21.2,2016/2017
AZS AGH Kraków,34.0,72.2,18.1,35.9,50.3,7.7,26.3,29.1,25.7,62.2,41.3,13.1,19.9,65.7,11.79,23.71,35.5,16.3,21.44,20.85,16.0,8.5,2.53,2.68,75.7,-21.9,2016/2017
Biofarm Basket Poznań,34.0,68.2,19.9,42.2,47.2,5.7,19.2,29.5,25.6,61.4,41.6,11.4,16.9,67.7,12.88,26.35,39.24,13.4,19.29,18.97,17.1,7.38,3.06,2.79,72.9,-2.5,2016/2017
Enea Astoria Bydgoszcz,33.0,75.8,23.0,43.4,52.9,5.1,18.2,28.1,28.1,61.6,45.6,14.5,21.0,69.1,10.67,25.36,36.03,15.9,22.48,21.67,16.6,6.79,1.7,3.06,79.6,-35.2,2016/2017
GKS Tychy,34.0,78.6,21.5,40.5,53.2,7.4,21.0,35.2,28.9,61.5,47.0,13.4,17.9,74.4,9.53,27.35,36.88,18.1,20.41,18.68,14.9,8.59,2.38,2.09,92.4,24.9,2016/2017
GTK Gliwice,39.0,75.6,21.3,38.9,54.8,7.4,23.5,31.6,28.8,62.4,46.1,10.6,16.9,63.0,9.79,23.87,33.67,17.4,22.54,18.36,13.8,9.44,1.56,1.56,84.0,25.3,2016/2017
Jamalex Polonia 1912 Leszno,33.0,72.9,19.4,42.9,45.2,6.3,20.0,31.3,25.7,63.0,40.8,15.2,22.5,67.8,13.24,26.33,39.58,12.1,22.82,22.33,16.1,9.18,2.06,2.82,75.2,3.3,2016/2017
Kotwica Kołobrzeg,30.0,69.0,17.5,35.2,49.8,7.2,23.7,30.5,24.8,58.9,42.0,12.2,18.3,66.5,8.2,27.37,35.57,16.4,17.47,19.7,15.1,7.33,2.13,1.8,75.0,-20.4,2016/2017
KSK Noteć Inowrocław,34.0,73.4,20.5,40.3,50.9,6.6,23.1,28.6,27.1,63.3,42.8,12.7,19.4,65.5,11.38,25.47,36.85,16.7,19.71,19.94,15.2,8.21,2.18,2.15,79.2,-22.9,2016/2017
Legia Warszawa,40.0,81.5,20.6,36.9,55.7,8.4,24.8,33.9,29.0,61.7,46.9,15.2,20.4,74.3,10.88,26.0,36.88,18.8,18.15,21.08,15.0,8.73,2.58,2.28,95.4,59.4,2016/2017
Max Elektro Sokół Łańcut,38.0,79.2,19.3,37.4,51.6,8.3,25.3,33.0,27.6,62.6,44.1,15.6,20.7,75.3,11.29,27.58,38.87,16.6,19.42,21.18,14.6,8.05,2.18,1.84,90.2,32.0,2016/2017
meritumkredyt Pogoń Prudnik,33.0,76.4,19.6,37.5,52.3,8.2,23.9,34.2,27.8,61.3,45.3,12.7,15.9,79.8,8.91,24.94,33.85,16.3,18.67,18.91,14.4,7.06,2.64,1.48,85.1,-2.1,2016/2017
MKS Znicz Basket Pruszków,30.0,74.5,19.7,36.9,53.3,6.9,23.4,29.6,26.6,60.4,44.1,14.3,20.1,71.2,11.97,25.63,37.6,15.2,19.43,20.83,16.4,7.5,2.37,2.7,81.2,1.3,2016/2017
SKK Siedlce,34.0,73.4,18.2,35.9,50.6,8.1,24.7,32.7,26.3,60.7,43.3,12.8,17.8,71.7,8.68,25.32,34.0,15.2,21.03,18.56,16.6,7.32,1.97,2.12,75.9,-22.4,2016/2017
Spójnia Stargard,39.0,78.9,22.3,42.2,52.8,7.5,21.9,34.0,29.7,64.1,46.4,12.0,16.1,74.7,10.46,25.92,36.38,16.0,18.87,18.26,15.4,7.44,2.44,1.79,87.3,5.8,2016/2017
Zetkama Doral Nysa Kłodzko,34.0,71.1,20.0,40.5,49.4,6.9,21.4,32.3,26.9,61.9,43.5,10.4,14.7,70.9,9.68,24.71,34.38,17.1,21.62,18.74,14.6,6.56,2.71,2.03,78.0,-26.0,2016/2017
ACK UTH Rosa Radom,35.0,71.7,18.9,38.2,49.4,7.4,24.5,30.1,26.3,62.7,41.9,11.8,17.8,66.2,12.06,23.31,35.37,13.8,20.34,20.0,14.7,8.37,1.94,2.8,74.1,-15.3,2015/2016
Astoria Bydgoszcz,33.0,74.9,21.1,43.6,48.5,6.6,20.0,33.1,27.8,63.6,43.7,12.7,19.2,66.0,11.42,24.91,36.33,17.0,22.15,21.27,15.3,8.88,2.12,2.7,81.5,-14.9,2015/2016
AZS AWF Mickiewicz Romus Katowice,35.0,71.1,19.6,40.9,48.0,7.4,22.6,32.6,27.0,63.5,42.5,9.7,15.5,62.6,10.26,23.46,33.71,15.3,22.06,19.23,15.0,8.94,1.86,3.66,73.6,-40.3,2015/2016
Biofarm Basket Poznań,35.0,63.8,18.1,40.4,44.9,5.4,20.4,26.5,23.5,60.8,38.7,11.3,18.2,62.2,12.34,24.11,36.46,11.1,20.17,20.37,16.0,8.54,2.74,3.69,62.6,-24.6,2015/2016
Exact Systems Śląsk Wrocław,35.0,66.1,17.3,37.2,46.5,6.3,21.8,29.0,23.6,59.0,40.0,12.5,17.7,70.5,10.23,24.86,35.09,12.1,22.71,21.14,17.0,7.74,2.49,3.03,65.9,-26.3,2015/2016
GKS Tychy,39.0,78.2,20.3,39.7,51.1,8.1,23.0,35.2,28.4,62.7,45.3,13.4,18.5,72.3,11.08,24.69,35.77,16.7,22.72,21.26,14.6,10.23,3.05,2.46,89.9,15.9,2015/2016
GTK Gliwice,35.0,68.1,17.2,36.8,46.7,7.0,22.0,31.6,24.1,58.8,41.1,12.9,18.1,71.1,10.29,25.51,35.8,14.3,22.2,20.8,17.0,6.94,2.6,2.2,70.7,-28.9,2015/2016
KS Spójnia Stargard,30.0,71.7,19.1,37.1,51.3,7.2,23.7,30.6,26.3,60.8,43.3,11.9,15.1,78.8,10.1,25.53,35.63,13.3,20.67,19.03,16.4,6.97,2.87,2.2,76.4,-28.0,2015/2016
KSK Noteć Inowrocław,35.0,71.0,18.9,41.3,45.9,6.5,21.3,30.4,25.4,62.6,40.6,13.7,20.3,67.1,12.54,27.46,40.0,15.4,20.86,21.57,17.5,8.11,2.91,2.71,76.1,-27.1,2015/2016
Legia Warszawa,42.0,80.3,19.4,37.4,52.0,8.5,24.1,35.3,28.0,61.5,45.5,15.8,21.6,73.2,11.38,27.02,38.4,17.4,20.57,22.38,15.3,8.19,2.48,2.64,92.1,43.2,2015/2016
Max Elektro Sokół Łańcut,40.0,75.1,20.5,41.7,49.2,7.0,21.8,32.1,27.5,63.5,43.3,13.1,17.5,74.5,12.7,26.53,39.23,14.9,21.05,20.73,13.7,9.58,3.18,1.9,87.8,51.1,2015/2016
meritumkredyt Pogoń Prudnik,34.0,70.4,17.6,36.5,48.2,6.9,20.7,33.4,24.5,57.2,42.8,14.5,18.7,77.2,9.59,24.79,34.38,14.3,20.15,20.59,15.5,7.71,2.24,2.32,76.6,3.2,2015/2016
Miasto Szkła Krosno,41.0,87.3,20.8,37.3,55.9,10.3,27.0,38.2,31.1,64.2,48.5,14.7,19.2,76.6,10.39,28.29,38.68,20.0,19.02,21.51,13.1,8.37,3.56,1.83,107.2,108.1,2015/2016
MKS Znicz Basket Pruszków,34.0,72.6,19.7,40.3,48.7,6.5,20.3,31.8,26.1,60.7,43.1,13.9,20.9,66.6,13.32,26.29,39.62,14.4,19.5,21.71,17.5,8.26,3.12,2.85,79.0,2.4,2015/2016
SKK Siedlce,30.0,74.0,18.4,36.4,50.5,8.6,23.7,36.3,27.0,60.0,44.9,11.5,16.9,68.0,9.07,27.4,36.47,15.6,21.0,19.67,16.6,6.9,2.07,1.97,79.9,-16.2,2015/2016
Zetkama Doral Nysa Kłodzko,33.0,65.1,18.6,41.8,44.3,5.4,18.4,29.3,23.9,60.2,39.8,11.9,17.3,68.6,13.15,23.94,37.09,19.4,22.03,20.15,17.2,7.85,1.91,2.24,72.4,-48.5,2015/2016
ACK UTH Rosa Radom,29.0,74.9,19.6,38.2,51.3,7.5,25.0,29.8,27.0,63.2,42.8,13.4,17.6,76.2,10.21,23.69,33.9,14.1,21.48,18.97,14.0,9.31,1.52,2.34,79.7,-7.4,2014/2015
Astoria Bydgoszcz,29.0,68.5,20.3,43.8,46.3,5.8,20.2,28.8,26.1,64.0,40.8,10.5,16.3,64.1,11.72,23.9,35.62,13.9,21.38,19.86,17.1,9.14,1.93,2.83,68.1,-43.1,2014/2015
AZS Politechnika Poznań,33.0,63.2,18.1,41.9,43.1,6.3,19.9,31.7,24.4,61.8,39.4,8.2,14.3,57.3,11.82,23.55,35.36,12.9,20.03,17.7,16.9,9.15,2.0,2.3,62.2,-76.4,2014/2015
BASKET ZAGŁĘBIE S.A.,29.0,75.6,22.5,45.3,49.6,6.4,18.0,35.4,28.8,63.3,45.6,11.6,18.1,64.1,11.97,24.83,36.79,16.8,18.86,19.38,14.3,8.41,2.76,2.1,85.1,-2.9,2014/2015
GKS Tychy,26.0,69.7,18.2,38.0,47.9,7.4,22.2,33.5,25.6,60.1,42.6,11.1,16.7,66.2,9.88,24.46,34.35,12.8,22.31,19.19,15.8,8.85,2.0,2.0,71.8,-10.2,2014/2015
GTK Fluor Gliwice,26.0,69.7,19.8,43.9,45.0,5.7,17.5,32.7,25.5,61.4,41.5,13.0,18.8,69.1,11.12,26.04,37.15,13.7,20.92,21.12,14.1,7.65,1.65,2.0,74.1,-17.3,2014/2015
Intermarche Bricomarche BM SlamStal Ostrów,38.0,80.1,20.0,39.7,50.3,8.4,23.0,36.5,28.3,62.7,45.2,15.0,21.0,71.7,11.34,27.26,38.61,14.1,19.03,22.32,12.4,8.18,1.68,1.74,90.1,48.8,2014/2015
KKK Krosno,36.0,81.4,19.9,36.4,54.8,9.8,26.3,37.2,29.7,62.7,47.4,12.2,16.6,73.8,10.58,27.47,38.06,19.3,19.28,18.97,14.4,7.42,2.92,2.08,97.5,58.9,2014/2015
KS Pogoń Prudnik,28.0,69.5,17.6,36.0,48.9,6.7,22.6,29.7,24.3,58.6,41.5,14.1,19.6,71.9,9.68,24.46,34.14,14.2,20.64,20.71,15.5,8.14,1.64,1.32,72.3,-23.9,2014/2015
KS Spójnia Stargard Szczeciński,30.0,70.0,18.3,36.2,50.5,7.3,23.6,31.0,25.6,59.8,42.8,11.5,15.6,73.9,10.4,25.63,36.03,14.3,20.87,19.73,15.1,8.03,2.03,2.1,77.1,7.0,2014/2015
Legia Warszawa,37.0,76.5,19.1,36.5,52.3,8.4,26.2,32.0,27.5,62.8,43.8,13.1,20.4,64.4,13.27,28.38,41.65,15.8,20.95,21.65,16.1,7.38,2.7,2.68,85.3,33.2,2014/2015
MKS Znicz Basket Pruszków,29.0,73.7,19.2,38.2,50.2,7.2,22.5,32.2,26.4,60.7,43.5,13.6,19.5,70.0,10.72,25.97,36.69,14.8,18.79,21.48,16.5,9.0,2.69,2.72,80.3,-4.5,2014/2015
PTG Sokół Łańcut,38.0,77.8,19.8,40.0,49.5,8.3,25.1,33.1,28.1,65.1,43.2,13.2,18.6,71.3,13.26,27.71,40.97,16.2,20.79,20.63,14.5,8.66,3.84,1.66,90.7,39.5,2014/2015
SKK Siedlce,34.0,68.9,16.9,36.5,46.3,8.2,24.5,33.6,25.1,61.0,41.2,10.4,15.9,65.5,12.21,28.0,40.21,13.8,20.21,19.47,18.2,5.56,1.91,2.0,71.1,-39.3,2014/2015
MKS Dąbrowa Górnicza II,30.0,79.2,18.6,36.8,50.6,8.1,25.1,32.4,26.8,61.9,43.3,17.6,24.3,72.2,11.73,26.1,37.83,14.9,20.4,22.8,15.3,7.1,3.77,2.37,85.7,14.0,2013/2014
AZS Politechnika Poznań,28.0,65.7,19.9,45.9,43.3,5.6,18.0,31.2,25.5,63.8,39.9,9.2,13.9,65.9,12.82,23.29,36.11,13.3,21.25,17.11,16.6,8.25,2.43,2.89,66.1,-59.8,2013/2014
Astoria Bydgoszcz,26.0,70.5,19.6,40.0,49.0,5.8,18.9,30.6,25.4,58.9,43.1,14.0,20.8,67.3,11.46,23.0,34.46,13.3,21.69,21.27,16.2,7.12,1.65,3.65,70.6,-36.2,2013/2014
Intermarche Bricomarche BM SlamStal Ostrów,26.0,73.7,20.8,40.4,51.5,5.8,20.2,28.8,26.6,60.5,44.0,14.6,19.5,75.1,9.96,24.85,34.81,12.2,19.73,21.23,12.7,7.77,1.65,1.85,78.6,6.9,2013/2014
King Wilki Morskie Szczecin,30.0,77.8,20.1,38.2,52.5,7.6,22.5,33.7,27.7,60.7,45.6,14.9,19.6,76.0,10.3,26.97,37.27,15.2,20.97,21.57,16.9,6.97,3.07,1.83,85.7,8.0,2013/2014
KS Spójnia Stargard Szczeciński,28.0,60.3,16.4,37.9,43.3,5.8,20.2,28.6,22.2,58.1,38.2,10.1,14.9,68.3,9.96,23.5,33.46,11.9,20.64,19.21,16.0,7.32,2.96,3.0,59.3,-52.9,2013/2014
MCKiS Termo-Rex SA Jaworzno,32.0,65.9,18.0,38.2,47.2,6.8,21.1,32.1,24.8,59.3,41.8,9.5,14.2,66.7,9.78,22.94,32.72,11.9,20.63,18.16,16.9,8.97,1.69,2.34,65.0,-56.3,2013/2014
MKS Wikana Start S.A. Lublin,36.0,71.9,18.3,39.6,46.3,6.8,20.7,32.6,25.1,60.3,41.6,14.9,22.7,65.9,9.61,27.58,37.19,13.9,19.58,22.31,13.9,6.81,2.42,2.89,75.4,5.9,2013/2014
MKS Znicz Basket Pruszków,32.0,65.2,16.6,36.8,45.1,6.3,22.3,28.1,22.9,59.1,38.7,13.2,20.0,65.8,12.13,26.53,38.66,12.9,19.28,21.0,17.8,7.34,2.91,2.81,66.2,-33.8,2013/2014
MOSiR PBS Bank KHS Krosno,36.0,76.3,20.4,38.4,53.2,7.4,24.5,30.0,27.8,62.9,44.2,13.4,17.7,75.4,10.17,26.5,36.67,16.5,20.17,19.22,12.8,8.5,2.81,2.58,88.6,46.4,2013/2014
Polfarmex Kutno,37.0,78.2,20.2,38.8,52.0,8.5,24.6,34.6,28.7,63.4,45.3,12.3,18.0,68.2,11.57,24.19,35.76,17.1,22.95,19.46,13.1,11.76,2.27,1.92,91.5,49.7,2013/2014
Polski Cukier SIDEn Toruń,29.0,74.2,20.1,39.8,50.5,7.1,19.9,35.5,27.1,59.7,45.5,12.9,20.0,64.6,11.28,27.52,38.79,18.7,19.21,21.41,15.8,7.21,3.14,2.07,86.6,40.7,2013/2014
PTG Sokół Łańcut,30.0,73.2,18.9,36.8,51.4,7.2,22.7,31.7,26.1,59.5,43.9,13.8,17.8,77.5,9.97,26.33,36.3,15.3,19.67,20.2,14.1,7.53,3.47,1.87,84.3,17.8,2013/2014
WKK ProBiotics Wrocław,38.0,75.4,19.6,44.9,43.8,7.6,21.8,34.9,27.2,66.7,40.9,13.3,18.7,71.0,14.71,25.29,40.0,13.9,22.89,21.0,15.4,8.58,2.5,3.58,80.1,18.3,2013/2014
MKS Dąbrowa Górnicza II,35.0,79.0,22.0,42.0,52.4,6.8,21.7,31.4,28.9,63.8,45.3,14.4,22.1,65.2,11.31,26.49,37.8,14.9,20.94,22.4,14.0,6.77,2.77,1.43,84.6,13.9,2012/2013
AZS Politechnika Poznań,34.0,69.2,22.4,49.9,44.8,4.9,18.1,27.0,27.2,68.0,40.1,9.8,15.4,63.6,14.62,24.94,39.56,15.4,23.38,17.82,16.8,9.62,3.15,2.47,73.7,-33.2,2012/2013
AZS Radex Szczecin,30.0,74.3,21.4,42.4,50.5,6.0,18.0,33.2,27.4,60.4,45.3,13.6,17.9,75.9,10.53,25.03,35.57,15.2,22.13,19.77,13.9,7.07,2.4,1.5,83.3,-0.2,2012/2013
AZS WSGK POLFARMEX Kutno,39.0,75.6,19.2,38.2,50.3,8.3,24.1,34.5,27.5,62.3,44.2,12.2,18.1,67.3,11.03,25.36,36.38,15.1,21.51,19.15,12.5,8.36,2.49,1.72,84.7,26.2,2012/2013
BM SLAM STAL Ostrów Wielkopolski,30.0,77.5,21.8,43.7,49.9,6.3,20.0,31.5,28.1,63.7,44.1,15.0,21.2,70.8,12.57,25.23,37.8,14.3,21.23,21.67,14.5,8.0,2.07,2.1,83.4,12.0,2012/2013
BUDIMPEX-POLONIA Przemyśl,33.0,70.6,18.9,38.8,48.7,6.1,18.5,33.2,25.0,57.3,43.7,14.4,18.6,77.4,7.97,25.94,33.91,13.5,18.58,19.97,14.3,6.85,3.39,1.91,77.5,-9.2,2012/2013
Franz Astoria Bydgoszcz,34.0,77.5,23.9,46.4,51.5,4.6,15.3,30.1,28.5,61.7,46.2,15.9,25.4,62.5,10.74,24.88,35.62,15.7,22.12,23.06,16.1,8.38,2.32,2.56,80.7,-17.1,2012/2013
KS Spójnia Stargard Szczeciński,33.0,68.1,18.2,38.3,47.5,6.5,21.2,30.8,24.7,59.5,41.5,12.1,17.4,69.4,9.85,25.12,34.97,14.2,20.0,20.06,13.8,7.48,1.76,2.58,72.5,-1.8,2012/2013
MKS Znicz Basket Pruszków,34.0,69.1,19.4,39.4,49.1,5.7,18.9,30.1,25.1,58.4,42.9,13.3,19.0,70.1,9.06,27.97,37.03,13.2,21.03,20.79,15.6,7.29,3.03,2.38,75.2,2.2,2012/2013
NETO PTG Sokół Łańcut,33.0,73.5,16.4,35.3,46.3,8.7,24.1,36.2,25.1,59.4,42.2,14.6,21.1,69.2,11.3,24.39,35.7,14.1,21.91,22.52,16.2,7.67,2.73,2.15,76.7,-0.9,2012/2013
PBS BANK EFIR ENERGY MOSiR Krosno,43.0,75.3,19.4,37.7,51.6,7.2,20.1,35.9,26.7,57.8,46.1,14.8,21.2,69.7,8.44,25.23,33.67,15.0,22.16,20.79,14.3,7.91,1.79,2.05,81.8,8.4,2012/2013
Polski Cukier SIDEn Toruń,40.0,72.1,20.8,40.9,50.8,5.5,18.5,29.9,26.3,59.4,44.3,14.0,20.6,68.0,10.53,27.53,38.05,15.3,20.28,21.7,15.7,6.53,3.43,2.3,80.1,1.6,2012/2013
Siedlecki Klub Koszykówki Siedlce,33.0,64.0,18.8,41.5,45.3,5.1,18.3,27.6,23.9,59.8,39.9,11.2,17.3,65.0,11.45,25.76,37.21,11.9,20.7,19.03,15.6,6.3,1.52,1.91,63.3,-42.6,2012/2013
UMKS Kielce,34.0,66.2,19.0,39.6,48.0,5.6,18.6,30.2,24.6,58.2,42.3,11.4,17.2,66.6,8.03,23.0,31.03,13.2,19.91,18.82,16.0,6.71,1.97,1.38,63.9,-55.7,2012/2013
WIKANA START SA Lublin,33.0,75.7,20.1,41.0,49.1,6.8,21.7,31.1,26.9,62.7,42.9,15.2,21.1,71.9,11.85,24.06,35.91,14.8,19.91,20.88,13.3,7.64,1.09,2.27,80.1,-6.2,2012/2013
WKS Śląsk Wrocław,42.0,81.6,21.5,43.7,49.1,7.1,20.1,35.5,28.6,63.9,44.8,17.2,23.5,73.3,12.6,27.14,39.74,13.9,20.71,23.02,12.6,10.74,2.36,1.55,94.2,77.4,2012/2013
AZS Radex Szczecin,32.0,73.3,21.0,40.1,52.4,5.4,18.3,29.7,26.5,58.4,45.3,14.9,20.0,74.7,10.59,23.78,34.38,13.9,21.69,21.13,13.5,6.38,1.88,,79.4,-10.4,2011/2012
AZS WSGK POLFARMEX Kutno,31.0,69.7,19.6,37.2,52.6,5.9,19.9,29.7,25.5,57.1,44.6,12.9,19.1,67.6,9.42,22.0,31.42,13.7,21.03,20.48,12.3,7.42,1.97,,74.0,-1.6,2011/2012
Delikatesy Centrum PBS Bank MOSiR Krosno,32.0,67.3,17.6,35.6,49.5,6.4,21.0,30.6,24.0,56.6,42.5,12.8,18.8,68.2,7.0,22.13,29.13,11.0,21.97,20.25,13.0,7.44,1.75,,65.1,-14.4,2011/2012
Focus Mall Sudety Jelenia Góra,32.0,63.7,18.3,39.7,46.0,5.6,18.1,30.7,23.8,57.8,41.2,10.5,14.6,71.9,8.72,21.56,30.28,12.3,20.66,18.97,15.4,6.91,1.38,,61.0,-53.4,2011/2012
KS Spójnia Stargard Szczeciński,33.0,69.7,17.0,35.7,47.7,7.2,21.1,34.4,24.2,56.7,42.7,14.0,19.1,73.1,9.55,24.67,34.21,14.2,20.67,20.61,14.5,7.03,2.48,,75.5,1.7,2011/2012
MKS Budimpex Polonia Przemyśl,31.0,75.7,20.6,38.8,53.0,6.8,22.0,30.9,27.4,60.8,45.0,14.1,17.8,79.2,10.52,23.77,34.29,15.8,19.87,19.61,14.5,7.13,1.97,,83.2,7.6,2011/2012
MKS Dąbrowa Górnicza,38.0,80.1,18.5,35.8,51.8,9.0,26.1,34.4,27.5,61.9,44.5,16.1,24.4,66.0,9.89,25.68,35.58,15.5,21.34,23.34,12.8,7.34,3.16,,86.3,26.5,2011/2012
MKS Start Lublin,32.0,67.8,17.5,38.6,45.4,6.4,19.4,33.0,23.9,58.0,41.2,13.6,20.3,67.0,7.91,25.5,33.41,11.1,19.94,20.72,14.6,5.94,0.94,,63.8,-16.7,2011/2012
MKS Znicz Basket Pruszków,39.0,73.1,18.1,36.6,49.5,7.3,22.3,32.5,25.4,58.9,43.1,15.1,21.9,68.8,9.85,26.64,36.49,13.6,23.08,22.08,16.8,7.31,2.72,,76.1,4.9,2011/2012
NETO PTG Sokół Łańcut,32.0,69.9,18.0,37.6,48.0,6.2,21.3,29.1,24.2,58.8,41.2,15.3,21.4,71.3,12.31,24.53,36.84,11.2,20.63,23.16,15.7,9.38,3.22,,74.1,-5.2,2011/2012
